id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 23:00:00FR23178_NO2_1,FR23178,3,44052,1.8,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23178_PM10_3,FR23178,24,44052,6.6,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23178_PM2.5_2,FR23178,39,44052,3.4,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23181_NO2_1,FR23181,3,44184,1.3,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23181_SO2_1,FR23181,1,44184,0.48,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23182_NO2_A,FR23182,3,72181,4.4,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23182_O3_A,FR23182,8,72181,66.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23182_PM10_3,FR23182,24,72181,6.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23182_PM2.5_2,FR23182,39,72181,3.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23188_NO2_A,FR23188,3,44109,2.9,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23188_O3_A,FR23188,8,44109,67.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23188_PM10_4,FR23188,24,44109,6.9,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23188_PM2.5_2,FR23188,39,44109,3.7,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23230_O3_A,FR23230,8,44132,71.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23239_NO2_A,FR23239,3,44020,3.8,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23239_PM10_1,FR23239,24,44020,6.6,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23239_PM2.5_6,FR23239,39,44020,3.6,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23242_NO2_1,FR23242,3,49007,13.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23242_PM10_1,FR23242,24,49007,7.7,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23242_PM2.5_1,FR23242,39,49007,2.2,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23249_NO2_A,FR23249,3,44103,2.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23249_PM10_1,FR23249,24,44103,6.1,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23249_PM2.5_1,FR23249,39,44103,3.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23251_NO2_1,FR23251,3,44109,9.4,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23251_PM2.5_1,FR23251,39,44109,6.1,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23252_NO2_1,FR23252,3,53130,6.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23252_PM2.5_1,FR23252,39,53130,7.3,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23259_PM10_1,FR23259,24,44109,6.7,2026-06-10 23:00:00+00:00
